Tanggal;Harga
08/03/2021;924000
09/03/2021;915000
10/03/2021;930000
11/03/2021;930000
12/03/2021;929000
13/03/2021;926000
14/03/2021;926000
15/03/2021;924000
16/03/2021;927000
17/03/2021;927000
18/03/2021;935000
19/03/2021;925000
20/03/2021;934000
21/03/2021;934000
22/03/2021;931000
23/03/2021;929000
24/03/2021;921000
25/03/2021;924000
26/03/2021;921000
27/03/2021;922000
28/03/2021;922000
29/03/2021;921000
30/03/2021;911000
31/03/2021;903000
01/04/2021;913000
02/04/2021;922000
03/04/2021;922000
04/04/2021;922000
05/04/2021;921000
06/04/2021;920000
07/04/2021;924000
08/04/2021;922000
09/04/2021;931000
10/04/2021;927000
11/04/2021;927000
12/04/2021;926000
13/04/2021;924000
14/04/2021;930000
15/04/2021;925000
16/04/2021;935000
17/04/2021;937000
19/04/2021;939000
20/04/2021;933000
21/04/2021;932000
22/04/2021;940000
23/04/2021;935000
24/04/2021;933000
25/04/2021;933000
26/04/2021;933000
27/04/2021;930000
28/04/2021;926000
29/04/2021;931000
30/04/2021;922000
01/05/2021;921000
02/05/2021;921000
03/05/2021;921000
04/05/2021;930000
05/05/2021;922000
06/05/2021;926000
07/05/2021;934000
08/05/2021;937000
09/05/2021;937000
10/05/2021;937000
11/05/2021;933000
17/05/2021;937000
18/05/2021;947000
19/05/2021;948000
20/05/2021;947000
21/05/2021;957000
22/05/2021;958000
23/05/2021;958000
24/05/2021;959000
25/05/2021;955000
27/05/2021;962000
28/05/2021;962000
29/05/2021;965000
30/05/2021;965000
31/05/2021;965000
02/06/2021;961000
03/06/2021;964000
04/06/2021;949000
05/06/2021;960000
06/06/2021;960000
07/06/2021;959000
08/06/2021;960000
09/06/2021;957000
10/06/2021;954000
11/06/2021;957000
12/06/2021;948000
14/06/2021;945000
15/06/2021;943000
16/06/2021;940000
17/06/2021;928000
18/06/2021;920000
19/06/2021;920000
21/06/2021;820000
22/06/2021;932000
23/06/2021;930000
24/06/2021;932000
25/06/2021;932000
26/06/2021;934000
28/06/2021;933000
29/06/2021;932000
30/06/2021;927000
01/07/2021;932000
02/07/2021;935000
03/07/2021;942000
05/07/2021;941000
06/07/2021;939000
07/07/2021;940000
08/07/2021;945000
09/07/2021;947000
10/07/2021;950000
12/07/2021;950000
13/07/2021;946000
14/07/2021;945000
15/07/2021;953000
16/07/2021;956000
17/07/2021;949000
